game_type,match_number,initial_number,player1_agent,player2_agent,winner,total_moves,player1_computation_time,player2_computation_time
Halving Game,1,17.0,Random AI,Minimax AI,-1,6,0.027025222778320312,0.011310577392578125
Halving Game,3,13.0,Random AI,Minimax AI,-1,6,0.03572225570678711,0.009577274322509766
Halving Game,6,13.0,Random AI,Minimax AI,1,5,0.0046672821044921875,0.04063224792480469
Halving Game,2,18.0,Random AI,Minimax AI,-1,8,0.009488821029663086,0.04043102264404297
Halving Game,11,11.0,Random AI,Minimax AI,-1,4,0.031839609146118164,0.01808023452758789
Halving Game,5,16.0,Random AI,Minimax AI,1,5,0.023576021194458008,0.030689001083374023
Halving Game,9,15.0,Random AI,Minimax AI,-1,6,0.03643655776977539,0.018857717514038086
Halving Game,12,10.0,Random AI,Minimax AI,-1,6,0.017548322677612305,0.022739171981811523
Halving Game,13,10.0,Random AI,Minimax AI,-1,6,0.019083261489868164,0.0201871395111084
Halving Game,15,11.0,Random AI,Minimax AI,-1,6,0.013852357864379883,0.022729873657226562
Halving Game,4,15.0,Random AI,Minimax AI,-1,8,0.022739171981811523,0.03619384765625
Halving Game,8,19.0,Random AI,Minimax AI,-1,8,0.03708600997924805,0.028761863708496094
Halving Game,7,18.0,Random AI,Minimax AI,-1,8,0.03750443458557129,0.02834343910217285
Halving Game,20,10.0,Random AI,Minimax AI,-1,4,0.0043451786041259766,0.01158285140991211
Halving Game,18,11.0,Random AI,Minimax AI,1,5,0.010446548461914062,0.010101795196533203
Halving Game,14,16.0,Random AI,Minimax AI,-1,8,0.025011301040649414,0.025766611099243164
Halving Game,16,20.0,Random AI,Minimax AI,-1,8,0.028633832931518555,0.02500748634338379
Halving Game,19,20.0,Random AI,Minimax AI,-1,6,0.016639232635498047,0.01950979232788086
Halving Game,21,10.0,Random AI,Minimax AI,-1,6,0.015518665313720703,0.01702117919921875
Halving Game,24,11.0,Random AI,Minimax AI,-1,4,0.010144233703613281,0.016405344009399414
Halving Game,17,19.0,Random AI,Minimax AI,-1,8,0.026647329330444336,0.021502017974853516
Halving Game,22,18.0,Random AI,Minimax AI,-1,6,0.01750659942626953,0.019466638565063477
Halving Game,10,20.0,Random AI,Minimax AI,-1,10,0.048195600509643555,0.043042659759521484
Halving Game,25,18.0,Random AI,Minimax AI,-1,6,0.024657726287841797,0.023867130279541016
Halving Game,26,17.0,Random AI,Minimax AI,-1,6,0.03478646278381348,0.014143228530883789
Halving Game,28,13.0,Random AI,Minimax AI,-1,6,0.0218508243560791,0.020164012908935547
Halving Game,23,18.0,Random AI,Minimax AI,-1,8,0.02526068687438965,0.02606511116027832
Halving Game,27,17.0,Random AI,Minimax AI,-1,6,0.01892566680908203,0.03420448303222656
Halving Game,29,15.0,Random AI,Minimax AI,-1,6,0.019177913665771484,0.027037382125854492
Halving Game,30,17.0,Random AI,Minimax AI,-1,6,0.018166780471801758,0.030337810516357422
Halving Game,32,17.0,Random AI,Minimax AI,-1,6,0.029326677322387695,0.01923823356628418
Halving Game,36,18.0,Random AI,Minimax AI,-1,6,0.0186769962310791,0.02448749542236328
Halving Game,37,20.0,Random AI,Minimax AI,-1,6,0.023181915283203125,0.018980026245117188
Halving Game,34,19.0,Random AI,Minimax AI,1,7,0.022351503372192383,0.024847030639648438
Halving Game,38,17.0,Random AI,Minimax AI,-1,6,0.02073812484741211,0.016670703887939453
Halving Game,35,15.0,Random AI,Minimax AI,1,7,0.02381443977355957,0.02452850341796875
Halving Game,33,17.0,Random AI,Minimax AI,-1,8,0.0288393497467041,0.025971174240112305
Halving Game,40,14.0,Random AI,Minimax AI,-1,6,0.014595508575439453,0.026947498321533203
